zone,class,rank,monster,area,x,y
Central Thanalan,Gladiator,1,Star Marmot,Spineless Basin,18.6,26.8
Central Thanalan,Gladiator,2,Cochineal Cactuar,The Clutch,24.0,20.0
Central Thanalan,Gladiator,2,Giant Tortoise,,24.0,30.0
Central Thanalan,Gladiator,2,Quiveron Guard,The Clutch,24.0,21.0
Central Thanalan,Pugilist,1,Eft,,21.0,23.0
Central Thanalan,Pugilist,1,Huge Hornet,,18.3,26.5
Central Thanalan,Pugilist,1,Orobon,,21.4,24.4
Central Thanalan,Pugilist,1,Snapping Shrew,Spineless Basin,21.9,25.7
Central Thanalan,Pugilist,1,Spriggan Graverobber,Black Brush,17.0,23.0
Central Thanalan,Pugilist,1,Star Marmot,Spineless Basin,18.6,26.8
Central Thanalan,Pugilist,2,Antling Sentry,,16.0,14.0
Central Thanalan,Pugilist,2,Cochineal Cactuar,The Clutch,24.0,20.0
Central Thanalan,Thaumaturge,1,Huge Hornet,,18.3,26.5
Central Thanalan,Thaumaturge,1,Qiqirn Shellsweeper,Black Brush,16.0,19.0
Central Thanalan,Thaumaturge,1,Snapping Shrew,Spineless Basin,21.9,25.7
Central Thanalan,Thaumaturge,1,Spriggan Graverobber,Black Brush,17.0,23.0
Central Thanalan,Thaumaturge,1,Sun Bat,,22.6,20.0
Central Thanalan,Thaumaturge,1,Syrphid Cloud,,19.0,17.0
Central Thanalan,Thaumaturge,2,Antling Sentry,,16.0,14.0
Central Thanalan,Thaumaturge,2,Cochineal Cactuar,The Clutch,24.0,20.0
Central Thanalan,Thaumaturge,2,Quiveron Attendant,,23.0,20.0
Central Thanalan,Thaumaturge,2,Toxic Toad,,26.7,19.8
Coerthas Central Highlands,Gladiator,4,Hippocerf,Whitebrim,12.0,18.5
Coerthas Central Highlands,Gladiator,4,Snow Wolf Pup,Dragonhead,22.0,27.0
Coerthas Central Highlands,Gladiator,4,Vodoriga,Providence Point,27.0,14.0
Coerthas Central Highlands,Gladiator,5,Giant Lugger,Boulder Downs,12.0,26.0
Coerthas Central Highlands,Gladiator,5,Mudpuppy,Boulder Downs,10.2,29.4
Coerthas Central Highlands,Marauder,4,Downy Aevis,,26.9,10.2
Coerthas Central Highlands,Marauder,4,Highland Goobbue,,24.0,20.0
Coerthas Central Highlands,Marauder,4,Ornery Karakul,,26.5,20.1
Coerthas Central Highlands,Marauder,4,Redhorn Ogre,,25.0,12.3
Coerthas Central Highlands,Marauder,4,Snow Wolf Pup,Dragonhead,22.0,27.0
Coerthas Central Highlands,Marauder,4,Snowstorm Goobbue,,19.7,18.2
Coerthas Central Highlands,Marauder,5,Biast,Boulder Downs,11.8,29.0
Coerthas Central Highlands,Lancer,4,Bateleur,,18.5,17.5
Coerthas Central Highlands,Lancer,4,Downy Aevis,,26.9,10.2
Coerthas Central Highlands,Lancer,4,Ornery Karakul,,26.5,20.1
Coerthas Central Highlands,Lancer,4,Snow Wolf Pup,Dragonhead,22.0,27.0
Coerthas Central Highlands,Lancer,5,Baritine Croc,,4.9,22.0
Coerthas Central Highlands,Lancer,5,Dragonfly,,9.0,14.0
Coerthas Central Highlands,Lancer,5,Natalan Watchwolf,Natalan,33.0,20.8
Coerthas Central Highlands,Lancer,5,Snow Wolf,Boulder Downs,16.4,33.9
Coerthas Central Highlands,Pugilist,4,Feral Croc,Dragonhead,27.0,24.0
Coerthas Central Highlands,Pugilist,4,Highland Goobbue,,24.0,20.0
Coerthas Central Highlands,Pugilist,4,Redhorn Ogre,,25.0,12.3
Coerthas Central Highlands,Pugilist,4,Snowstorm Goobbue,,19.7,18.2
Coerthas Central Highlands,Pugilist,5,Biast,Boulder Downs,11.8,29.0
Coerthas Central Highlands,Pugilist,5,Snow Wolf,Boulder Downs,16.4,33.9
Coerthas Central Highlands,Rogue,4,Bateleur,,18.5,17.5
Coerthas Central Highlands,Rogue,4,Chinchilla,,16.3,20.0
Coerthas Central Highlands,Rogue,4,Feral Croc,Dragonhead,27.0,24.0
Coerthas Central Highlands,Rogue,4,Highland Goobbue,,24.0,20.0
Coerthas Central Highlands,Rogue,4,Redhorn Ogre,,25.0,12.3
Coerthas Central Highlands,Rogue,4,Taurus,Providence Point,32.0,12.0
Coerthas Central Highlands,Rogue,5,Mudpuppy,Boulder Downs,10.2,29.4
Coerthas Central Highlands,Archer,4,Baritine Croc,,4.9,22.0
Coerthas Central Highlands,Archer,4,Feral Croc,Dragonhead,27.0,24.0
Coerthas Central Highlands,Archer,4,Ice Sprite,,25.0,20.0
Coerthas Central Highlands,Archer,4,Vodoriga,Providence Point,27.0,14.0
Coerthas Central Highlands,Archer,5,Dragonfly,,9.0,14.0
Coerthas Central Highlands,Archer,5,Giant Reader,,13.0,27.0
Coerthas Central Highlands,Archer,5,Hippocerf,Whitebrim,12.0,18.5
Coerthas Central Highlands,Conjurer,4,Downy Aevis,,26.9,10.2
Coerthas Central Highlands,Conjurer,4,Dragonfly,,9.0,14.0
Coerthas Central Highlands,Conjurer,4,Ornery Karakul,,26.5,20.1
Coerthas Central Highlands,Conjurer,5,Hippocerf,Whitebrim,12.0,18.5
Coerthas Central Highlands,Conjurer,5,Snow Wolf,Boulder Downs,16.4,33.9
Coerthas Central Highlands,Thaumaturge,4,Feral Croc,Dragonhead,27.0,24.0
Coerthas Central Highlands,Thaumaturge,4,Ice Sprite,,25.0,20.0
Coerthas Central Highlands,Thaumaturge,5,Dragonfly,,9.0,14.0
Coerthas Central Highlands,Thaumaturge,5,Giant Logger,,13.0,25.0
Coerthas Central Highlands,Arcanist,4,Feral Croc,Dragonhead,27.0,24.0
Coerthas Central Highlands,Arcanist,4,Snow Wolf Pup,Dragonhead,22.0,27.0
Coerthas Central Highlands,Arcanist,4,Taurus,Providence Point,32.0,12.0
Coerthas Central Highlands,Arcanist,5,Natalan Watchwolf,Natalan,33.0,20.8
Coerthas Central Highlands,Arcanist,5,Snow Wolf,Boulder Downs,16.4,33.9
Coerthas Central Highlands,Maelstrom,1,Ixali Wildtalon,,31.3,27.7
Coerthas Central Highlands,Maelstrom,3,Natalan Boldwing,Natalan,32.0,18.0
Coerthas Central Highlands,Maelstrom,3,Natalan Fogcaller,Natalan,31.2,17.2
Coerthas Central Highlands,Order of the Twin Adder,1,Ixali Fearcaller,Dragonhead,31.0,28.0
Coerthas Central Highlands,Order of the Twin Adder,3,Natalan Boldwing,Natalan,32.0,18.0
Coerthas Central Highlands,Order of the Twin Adder,3,Natalan Swiftbeak,,32.0,18.0
Coerthas Central Highlands,Immortal Flames,1,Ixali Boundwing,,32.3,27.7
Coerthas Central Highlands,Immortal Flames,3,Natalan Boldwing,Natalan,32.0,18.0
Coerthas Central Highlands,Immortal Flames,3,Natalan Windtalon,Natalan,34.7,22.2
Cutter's Cry,Immortal Flames,2,Myrmidon Princess,,16.0,14.0
Cutter's Cry,Immortal Flames,2,Sabotender Desertor,,16.0,14.0
Cutter's Cry,Immortal Flames,2,Sand Bat,,16.0,14.0
East Shroud,Gladiator,5,3rd Cohort Eques,Larkscall,29.0,21.0
East Shroud,Gladiator,5,Morbol,Larkscall,22.9,20.5
East Shroud,Gladiator,5,Oldgrowth Treant,Larkscall,27.0,22.0
East Shroud,Marauder,3,Diseased Treant,,18.0,25.0
East Shroud,Marauder,5,Milkroot Cluster,Sylphlands,24.2,16.8
East Shroud,Marauder,5,Molted Ziz,Larkscall,25.3,23.9
East Shroud,Marauder,5,Morbol,Larkscall,22.9,20.5
East Shroud,Lancer,1,Tree Slug,,13.0,25.0
East Shroud,Lancer,2,Black Bat,,14.7,22.5
East Shroud,Lancer,2,Boar Poacher,,19.6,30.0
East Shroud,Lancer,2,Boring Weevil,,20.0,27.0
East Shroud,Lancer,2,Faerie Funguar,,19.4,28.6
East Shroud,Lancer,2,Giant Gnat,,19.0,27.0
East Shroud,Lancer,2,Lemur,,14.9,27.5
East Shroud,Lancer,2,Mandragora,,14.0,25.0
East Shroud,Lancer,2,Wild Hoglet,,12.7,23.2
East Shroud,Lancer,2,Ziz Gorlin,,19.9,25.4
East Shroud,Lancer,5,3rd Cohort Signifer,,32.0,20.0
East Shroud,Lancer,5,Morbol,Larkscall,22.9,20.5
East Shroud,Lancer,5,Sylphlands Sentinel,,24.0,11.0
East Shroud,Pugilist,3,Overgrown Ivy,Nine Ivies,20.0,29.0
East Shroud,Pugilist,4,Molted Ziz,Larkscall,25.3,23.9
East Shroud,Pugilist,4,Ochu,,13.0,25.0
East Shroud,Pugilist,5,3rd Cohort Signifer,,32.0,20.0
East Shroud,Pugilist,5,Dreamtoad,,28.0,17.0
East Shroud,Rogue,3,Black Bat,,14.7,22.5
East Shroud,Rogue,3,Gall Gnat,,23.0,30.0
East Shroud,Rogue,3,Overgrown Ivy,Nine Ivies,20.0,29.0
East Shroud,Archer,2,Faerie Funguar,,19.4,28.6
East Shroud,Archer,2,Giant Gnat,,19.0,27.0
East Shroud,Archer,2,Goblin Hunter,,13.0,27.0
East Shroud,Archer,2,Lemur,,14.9,27.5
East Shroud,Archer,2,Mandragora,,14.0,25.0
East Shroud,Archer,2,Raptor Poacher,,19.0,30.0
East Shroud,Archer,2,Wild Boar,,17.0,23.4
East Shroud,Archer,2,Wild Hoglet,,12.7,23.2
East Shroud,Archer,3,Diseased Treant,,18.0,25.0
East Shroud,Archer,3,Jumping Djigga,The Bramble Patch,15.7,20.4
East Shroud,Archer,5,Milkroot Sapling,,23.2,14.6
East Shroud,Archer,5,Morbol,Larkscall,22.9,20.5
East Shroud,Archer,5,Oldgrowth Treant,Larkscall,27.0,22.0
East Shroud,Archer,5,Sylphlands Condor,,27.0,16.0
East Shroud,Conjurer,1,Northern Vulture,,12.0,25.0
East Shroud,Conjurer,2,Black Bat,,14.7,22.5
East Shroud,Conjurer,2,Boring Weevil,,20.0,27.0
East Shroud,Conjurer,2,Faerie Funguar,,19.4,28.6
East Shroud,Conjurer,2,Giant Gnat,,19.0,27.0
East Shroud,Conjurer,2,Goblin Hunter,,13.0,27.0
East Shroud,Conjurer,2,Mandragora,,14.0,25.0
East Shroud,Conjurer,2,Wolf Poacher,,19.6,30.0
East Shroud,Conjurer,3,Diseased Treant,,18.0,25.0
East Shroud,Conjurer,3,Glowfly,The Bramble Patch,15.0,21.0
East Shroud,Conjurer,5,3rd Cohort Hoplomachus,,28.0,20.0
East Shroud,Conjurer,5,Sylph Bonnet,,23.0,14.0
East Shroud,Thaumaturge,3,Glowfly,The Bramble Patch,15.0,21.0
East Shroud,Thaumaturge,3,Jumping Djigga,The Bramble Patch,15.7,20.4
East Shroud,Thaumaturge,3,Overgrown Ivy,Nine Ivies,20.0,29.0
East Shroud,Thaumaturge,5,3rd Cohort Secutor,,27.0,21.0
East Shroud,Thaumaturge,5,Morbol,Larkscall,22.9,20.5
East Shroud,Thaumaturge,5,Oldgrowth Treant,Larkscall,27.0,22.0
East Shroud,Arcanist,3,Overgrown Ivy,Nine Ivies,20.0,29.0
East Shroud,Arcanist,4,Molted Ziz,Larkscall,25.3,23.9
East Shroud,Arcanist,5,3rd Cohort Laquearius,Larkscall,29.0,20.7
East Shroud,Maelstrom,1,Sylvan Groan,The Bramble Patch,20.0,21.0
East Shroud,Maelstrom,1,Sylvan Sough,The Bramble Patch,19.0,21.0
East Shroud,Maelstrom,2,Sylvan Sigh,Larkscall,25.0,21.4
East Shroud,Maelstrom,3,Sylpheed Screech,Sylphlands,26.0,18.0
East Shroud,Order of the Twin Adder,1,Sylvan Scream,The Bramble Patch,19.0,21.0
East Shroud,Order of the Twin Adder,2,Sylvan Snarl,Larkscall,21.5,21.4
East Shroud,Order of the Twin Adder,3,Sylpheed Snarl,Sylphlands,27.0,21.0
East Shroud,Immortal Flames,1,Sylvan Sough,The Bramble Patch,19.0,21.0
East Shroud,Immortal Flames,2,Sylvan Screech,Larkscall,28.5,20.9
East Shroud,Immortal Flames,3,Sylpheed Sigh,,27.0,21.0
Eastern La Noscea,Gladiator,3,Apkallu,Bloodshore,27.2,36.4
Eastern La Noscea,Gladiator,5,2nd Cohort Hoplomachus,Agelyss Wise,27.0,21.0
Eastern La Noscea,Marauder,4,Bloodshore Bell,,31.0,26.5
Eastern La Noscea,Marauder,4,Grass Raptor,Raincatcher Gully,16.0,25.0
Eastern La Noscea,Marauder,4,Jungle Coeurl,,18.4,28.1
Eastern La Noscea,Marauder,4,Snipper,,30.7,35.3
Eastern La Noscea,Marauder,5,2nd Cohort Laquearius,Agelyss Wise,25.0,21.0
Eastern La Noscea,Lancer,3,Apkallu,Bloodshore,27.2,36.4
Eastern La Noscea,Lancer,4,Large Buffalo,,27.1,34.6
Eastern La Noscea,Lancer,5,2nd Cohort Eques,,26.0,20.0
Eastern La Noscea,Pugilist,3,Apkallu,Bloodshore,27.2,36.4
Eastern La Noscea,Pugilist,4,Goobbue,,16.0,28.1
Eastern La Noscea,Pugilist,4,Jungle Coeurl,,18.4,28.1
Eastern La Noscea,Rogue,4,Colibri,Bloodshore,30.0,25.0
Eastern La Noscea,Rogue,4,Grass Raptor,Raincatcher Gully,16.0,25.0
Eastern La Noscea,Rogue,4,Large Buffalo,,27.1,34.6
Eastern La Noscea,Rogue,4,Qiqirn Gullroaster,Bloodshore,26.0,32.0
Eastern La Noscea,Rogue,5,2nd Cohort Eques,,26.0,20.0
Eastern La Noscea,Rogue,5,2nd Cohort Secutor,,26.0,21.0
Eastern La Noscea,Rogue,5,2nd Cohort Signifer,,25.7,21.1
Eastern La Noscea,Rogue,5,2nd Cohort Vanguard,,28.5,19.6
Eastern La Noscea,Archer,3,Apkallu,Bloodshore,27.2,36.4
Eastern La Noscea,Archer,4,Bloodshore Bell,,31.0,26.5
Eastern La Noscea,Archer,4,Giant Pelican,,19.4,30.6
Eastern La Noscea,Archer,4,Jungle Coeurl,,18.4,28.1
Eastern La Noscea,Conjurer,3,Apkallu,Bloodshore,27.2,36.4
Eastern La Noscea,Conjurer,4,Bloodshore Bell,,31.0,26.5
Eastern La Noscea,Conjurer,4,Gigantoad,Raincatcher Gully,19.0,26.0
Eastern La Noscea,Conjurer,5,2nd Cohort Vanguard,,28.5,19.6
Eastern La Noscea,Thaumaturge,4,Dung Midge Swarm,,15.2,30.7
Eastern La Noscea,Thaumaturge,4,Gigantoad,Raincatcher Gully,19.0,26.0
Eastern La Noscea,Thaumaturge,5,2nd Cohort Signifer,,25.7,21.1
Eastern La Noscea,Arcanist,4,Colibri,Bloodshore,30.0,25.0
Eastern La Noscea,Arcanist,4,Gigantoad,Raincatcher Gully,19.0,26.0
Eastern La Noscea,Arcanist,4,Grass Raptor,Raincatcher Gully,16.0,25.0
Eastern La Noscea,Arcanist,4,Mildewed Goobbue,Raincatcher Gully,16.9,32.4
Eastern La Noscea,Arcanist,4,Qiqirn Gullroaster,Bloodshore,26.0,32.0
Eastern La Noscea,Maelstrom,2,Kobold Pitman,Bloodshore,28.0,25.0
Eastern La Noscea,Order of the Twin Adder,2,Kobold Missionary,Bloodshore,27.8,26.0
Eastern La Noscea,Immortal Flames,2,Kobold Missionary,Bloodshore,27.8,26.0
Eastern Thanalan,Gladiator,2,Myotragus Billy,Drybone,17.4,21.5
Eastern Thanalan,Gladiator,2,Rotting Noble,Drybone,14.0,17.0
Eastern Thanalan,Gladiator,2,Tuco-tuco,Drybone,10.8,18.2
Eastern Thanalan,Gladiator,2,Vandalous Imp,Drybone,14.4,18.7
Eastern Thanalan,Gladiator,3,Qiqirn Roerunner,Wellwick Wood,24.0,22.0
Eastern Thanalan,Marauder,3,Axe Beak,Wellwick Wood,23.7,18.6
Eastern Thanalan,Marauder,3,Phurble,Wellwick Wood,23.0,20.0
Eastern Thanalan,Marauder,5,Quartz Doblyn,The Burning Wall,27.3,26.0
Eastern Thanalan,Lancer,4,Mirrorknight,,31.2,23.6
Eastern Thanalan,Pugilist,2,Blowfly Swarm,,10.4,23.1
Eastern Thanalan,Pugilist,2,Myotragus Nanny,,18.0,22.0
Eastern Thanalan,Pugilist,2,Rotting Corpse,,14.0,16.0
Eastern Thanalan,Pugilist,2,Rotting Noble,Drybone,14.0,17.0
Eastern Thanalan,Pugilist,2,Tuco-tuco,Drybone,10.8,18.2
Eastern Thanalan,Pugilist,2,Vandalous Imp,Drybone,14.4,18.7
Eastern Thanalan,Pugilist,5,Quartz Doblyn,The Burning Wall,27.3,26.0
Eastern Thanalan,Rogue,5,Golden Fleece,,30.0,24.0
Eastern Thanalan,Rogue,5,Quartz Doblyn,The Burning Wall,27.3,26.0
Eastern Thanalan,Archer,3,Chasm Buzzard,Wellwick Wood,22.0,20.0
Eastern Thanalan,Conjurer,2,Firefly,,24.0,29.0
Eastern Thanalan,Conjurer,3,Qiqirn Roerunner,Wellwick Wood,24.0,22.0
Eastern Thanalan,Conjurer,5,Golden Fleece,,30.0,24.0
Eastern Thanalan,Thaumaturge,2,Blowfly Swarm,,10.4,23.1
Eastern Thanalan,Thaumaturge,2,Myotragus Nanny,,18.0,22.0
Eastern Thanalan,Thaumaturge,2,Rotting Corpse,,14.0,16.0
Eastern Thanalan,Thaumaturge,2,Tuco-tuco,Drybone,10.8,18.2
Eastern Thanalan,Thaumaturge,3,Phurble,Wellwick Wood,23.0,20.0
Eastern Thanalan,Thaumaturge,4,Golden Fleece,,30.0,24.0
Eastern Thanalan,Arcanist,3,Axe Beak,Wellwick Wood,23.7,18.6
Eastern Thanalan,Arcanist,3,Chasm Buzzard,Wellwick Wood,22.0,20.0
Eastern Thanalan,Arcanist,5,Quartz Doblyn,The Burning Wall,27.3,26.0
Eastern Thanalan,Maelstrom,1,Amalj'aa Hunter,Sandgate,19.0,28.0
Eastern Thanalan,Order of the Twin Adder,1,Amalj'aa Bruiser,,25.0,21.0
Eastern Thanalan,Order of the Twin Adder,1,Amalj'aa Javelinier,Sandgate,19.0,27.0
Eastern Thanalan,Order of the Twin Adder,1,Amalj'aa Ranger,Wellwick Wood,25.0,20.0
Eastern Thanalan,Immortal Flames,1,Amalj'aa Hunter,Sandgate,19.0,28.0
Halatali,Maelstrom,1,Doctore,,14.0,30.0
Halatali,Maelstrom,1,Firemane,,,
Halatali,Maelstrom,1,Heckler Imp,,,
Halatali,Order of the Twin Adder,1,Coliseum Python,,13.0,9.0
Halatali,Order of the Twin Adder,1,Heckler Imp,,,
Halatali,Order of the Twin Adder,1,Scythe Mantis,,13.0,9.0
Halatali,Immortal Flames,1,Doctore,,14.0,30.0
Halatali,Immortal Flames,1,Firemane,,,
Halatali,Immortal Flames,1,Thunderclap Guivre,,,
Lower La Noscea,Marauder,1,Aurelia,Moraby Bay,25.0,25.0
Lower La Noscea,Marauder,1,Wild Dodo,Cedarwood,29.0,20.5
Lower La Noscea,Marauder,2,Firefly,,26.0,37.0
Lower La Noscea,Marauder,2,Moraby Mole,,20.3,34.7
Lower La Noscea,Marauder,2,Mossless Goobbue,,25.0,26.0
Lower La Noscea,Marauder,2,Qiqirn Eggdigger,The Gods' Grip,18.0,35.0
Lower La Noscea,Rogue,1,Aurelia,Moraby Bay,25.0,25.0
Lower La Noscea,Rogue,1,Cave Bat,Cedarwood,27.0,15.9
Lower La Noscea,Rogue,1,Galago,Cedarwood,29.3,14.9
Lower La Noscea,Rogue,1,Tiny Mandragora,,30.0,19.0
Lower La Noscea,Rogue,1,Wild Dodo,Cedarwood,29.0,20.5
Lower La Noscea,Rogue,2,Moraby Mole,,20.3,34.7
Lower La Noscea,Rogue,2,Qiqirn Eggdigger,The Gods' Grip,18.0,35.0
Lower La Noscea,Rogue,2,Wild Jackal,,21.0,33.0
Lower La Noscea,Arcanist,1,Cave Bat,Cedarwood,27.0,15.9
Lower La Noscea,Arcanist,1,Galago,Cedarwood,29.3,14.9
Lower La Noscea,Arcanist,1,Lightning Sprite,The Gods' Grip,19.0,34.0
Lower La Noscea,Arcanist,1,Nesting Buzzard,Cedarwood,32.0,16.0
Lower La Noscea,Arcanist,1,Wind Sprite,Cedarwood,28.1,21.1
Lower La Noscea,Arcanist,2,Mossless Goobbue,,25.0,26.0
Lower La Noscea,Arcanist,2,Qiqirn Eggdigger,The Gods' Grip,18.0,35.0
Middle La Noscea,Marauder,1,Bee Cloud,Summerford,17.2,18.4
Middle La Noscea,Marauder,1,Bogy,Summerford,20.0,19.0
Middle La Noscea,Marauder,1,Grounded Raider,Summerford,20.2,16.9
Middle La Noscea,Marauder,1,Little Ladybug,Zephyr Drift,24.0,26.0
Middle La Noscea,Marauder,1,Megalocrab,Three-malm Bend,17.0,14.5
Middle La Noscea,Marauder,1,Tiny Mandragora,Summerford,23.0,18.0
Middle La Noscea,Marauder,1,Wharf Rat,Zephyr Drift,24.0,23.0
Middle La Noscea,Marauder,1,Wounded Aurochs,Summerford,18.0,17.0
Middle La Noscea,Rogue,1,Goblin Fisher,Summerford,23.0,21.0
Middle La Noscea,Rogue,1,Grounded Pirate,Summerford,20.0,17.0
Middle La Noscea,Rogue,1,Grounded Raider,Summerford,20.2,16.9
Middle La Noscea,Rogue,1,Lost Lamb,Zephyr Drift,22.2,25.6
Middle La Noscea,Rogue,1,Megalocrab,Three-malm Bend,17.0,14.5
Middle La Noscea,Rogue,1,Pugil,Summerford,21.7,22.3
Middle La Noscea,Rogue,1,Tiny Mandragora,Summerford,23.0,18.0
Middle La Noscea,Rogue,1,Wharf Rat,Zephyr Drift,24.0,23.0
Middle La Noscea,Arcanist,1,Bogy,Summerford,20.0,19.0
Middle La Noscea,Arcanist,1,Grounded Pirate,Summerford,20.0,17.0
Middle La Noscea,Arcanist,1,Little Ladybug,Zephyr Drift,24.0,26.0
Middle La Noscea,Arcanist,1,Lost Lamb,Zephyr Drift,22.2,25.6
Middle La Noscea,Arcanist,1,Puk Hatchling,Summerford,23.0,19.0
Middle La Noscea,Arcanist,1,Wharf Rat,Zephyr Drift,24.0,23.0
Middle La Noscea,Arcanist,2,Mossless Goobbue,,21.0,23.0
Mor Dhona,Gladiator,5,Gigas Bhikkhu,North Silvertear,33.0,15.0
Mor Dhona,Gladiator,5,Lake Cobra,North Silvertear,25.1,9.5
Mor Dhona,Gladiator,5,Mudpuppy,Fogfens,12.9,11.2
Mor Dhona,Marauder,5,5th Cohort Signifer,Fogfens,10.0,14.0
Mor Dhona,Lancer,5,5th Cohort Vanguard,,9.1,13.0
Mor Dhona,Lancer,5,Daring Harrier,,16.0,15.0
Mor Dhona,Lancer,5,Lake Cobra,North Silvertear,25.1,9.5
Mor Dhona,Pugilist,5,5th Cohort Hoplomachus,Fogfens,12.0,12.0
Mor Dhona,Pugilist,5,Gigas Shramana,,28.2,11.8
Mor Dhona,Pugilist,5,Hapalit,,30.0,6.0
Mor Dhona,Pugilist,5,Raging Harrier,,17.0,15.0
Mor Dhona,Rogue,5,Daring Harrier,,16.0,15.0
Mor Dhona,Rogue,5,Gigas Shramana,,28.2,11.8
Mor Dhona,Rogue,5,Gigas Sozu,,29.0,16.0
Mor Dhona,Rogue,5,Hapalit,,30.0,6.0
Mor Dhona,Rogue,5,Hippogryph,,24.6,9.4
Mor Dhona,Rogue,5,Mudpuppy,Fogfens,12.9,11.2
Mor Dhona,Rogue,5,Nix,Fogfens,19.0,9.0
Mor Dhona,Rogue,5,Raging Harrier,,17.0,15.0
Mor Dhona,Archer,5,5th Cohort Secutor,,10.0,13.0
Mor Dhona,Archer,5,Hippogryph,,24.6,9.4
Mor Dhona,Archer,5,Mudpuppy,Fogfens,12.9,11.2
Mor Dhona,Conjurer,5,5th Cohort Eques,,11.9,12.6
Mor Dhona,Thaumaturge,5,Gigas Sozu,,29.0,16.0
Mor Dhona,Thaumaturge,5,Nix,Fogfens,19.0,9.0
Mor Dhona,Arcanist,5,5th Cohort Laquearius,Fogfens,11.0,11.0
Mor Dhona,Arcanist,5,Mudpuppy,Fogfens,12.9,11.2
Mor Dhona,Arcanist,5,Nix,Fogfens,19.0,9.0
North Shroud,Gladiator,3,Balloon,Alder Springs,15.5,27.5
